p,n,base_size,middle_hv_safe,four_constraint_survivors,sat_plus,sat_minus
5,10,12,4,0,2,2
7,14,18,4,1,8,4
17,34,48,4,0,16,18
19,38,54,4,1,24,18
31,62,90,4,1,38,34
37,74,108,4,0,44,40
61,122,180,4,0,78,66
67,134,198,4,1,84,78
71,142,210,4,1,86,86
83,166,246,4,1,98,104
97,194,288,4,0,122,112
107,214,318,4,1,126,136
109,218,324,4,0,138,126
139,278,414,4,1,178,164
151,302,450,4,1,186,186
167,334,498,4,1,202,210
173,346,516,4,0,210,214
181,362,540,4,0,224,220
281,562,840,4,0,346,348
