p,n,region,residues,pool,hjsw,hjsw_in_pool,hjsw_polished,local_pack,best_final,delta_vs_hjsw,delta_vs_polished,winner,verified,primary,surplus,lb_disjoint,lb_minus_surplus,primary_holds,board_hjsw_overlap,runtime_s
17,34,t2m,1|2|3,192,48,48,54,52,54,6,0,hjsw_polished,1,58,10,10,0,1,6,20.17
17,34,t2,1|2|3,144,48,48,54,49,54,6,0,hjsw_polished,1,53,5,13,8,1,6,40.36
19,38,t2m,1|2|3,216,54,54,60,57,60,6,0,hjsw_polished,1,67,13,9,-4,0,6,20.26
19,38,t2,1|2|3,162,54,54,60,54,60,6,0,hjsw_polished,1,62,8,14,6,1,6,40.47
23,46,t2m,1|2|3,264,66,66,71,69,74,8,3,ambient_local,1,75,9,17,8,1,18,20.35
23,46,t2,1|2|3,198,66,66,71,66,71,5,0,hjsw_polished,1,74,8,16,8,1,18,40.74
29,58,t2m,1|2|3,336,84,84,88,86,88,4,0,hjsw_polished,1,98,14,14,0,1,18,20.72
29,58,t2,1|2|3,252,84,84,88,84,88,4,0,hjsw_polished,1,84,0,0,0,1,18,41.17
31,62,t2m,1|2|3,360,90,90,98,90,98,8,0,hjsw_polished,1,103,13,28,15,1,6,20.64
31,62,t2,1|2|3,270,90,90,98,90,98,8,0,hjsw_polished,1,94,4,28,24,1,6,41.49
37,74,t2m,1|2|3,432,108,108,115,111,116,8,1,ambient_local,1,132,24,18,-6,0,18,21.10
37,74,t2,1|2|3,324,108,108,115,108,116,8,1,ambient_local,1,122,14,34,20,1,18,41.97
41,82,t2m,1|2|3,480,120,120,124,124,124,4,0,hjsw_polished,1,140,20,16,-4,0,6,21.33
41,82,t2,1|2|3,360,120,120,124,120,124,4,0,hjsw_polished,1,130,10,33,23,1,6,42.05
43,86,t2m,1|2|3,504,126,126,132,126,132,6,0,hjsw_polished,1,142,16,16,0,1,18,21.43
43,86,t2,1|2|3,378,126,126,132,126,132,6,0,hjsw_polished,1,133,7,35,28,1,18,42.59
47,94,t2m,1|2|3,552,138,138,143,138,143,5,0,hjsw_polished,1,166,28,26,-2,0,6,21.78
47,94,t2,1|2|3,414,138,138,143,138,143,5,0,hjsw_polished,1,151,13,43,30,1,6,43.15
