p,clean_at_2p,clean_at_2p1,max_lifts_2p,max_lifts_2p1,nonprim_2p,nonprim_2p1,sharp_ok,runtime_s
3,1,0,2,3,0,4,1,0.000
5,1,0,2,3,0,8,1,0.001
7,1,0,2,3,0,8,1,0.001
11,1,0,2,3,0,8,1,0.003
13,1,0,2,3,0,8,1,0.004
17,1,0,2,3,0,8,1,0.006
19,1,0,2,3,0,8,1,0.008
23,1,0,2,3,0,8,1,0.014
29,1,0,2,3,0,8,1,0.022
31,1,0,2,3,0,8,1,0.025
37,1,0,2,3,0,8,1,0.036
41,1,0,2,3,0,8,1,0.048
43,1,0,2,3,0,8,1,0.052
47,1,0,2,3,0,8,1,0.063
53,1,0,2,3,0,8,1,0.079
59,1,0,2,3,0,8,1,0.103
61,1,0,2,3,0,8,1,0.111
67,1,0,2,3,0,8,1,0.139
71,1,0,2,3,0,8,1,0.153
73,1,0,2,3,0,8,1,0.157
79,1,0,2,3,0,8,1,0.200
