kind,p,residues,row_col_automatic,mono_best,conjectured_cap,hits_cap,hjsw,best_over_hjsw,asymp_2p_over_3pm1,majority,minority,surplus,floor_m_over_3,b2_actual,b2_forced_by_mono_cap,surplus_if_M_at_cap
mono,5,1,1,12,12,1,12,1.0000,0.8333,12,0,0,0,,,
mono,7,1,1,14,14,1,18,0.7778,0.7778,14,0,-4,0,,,
mono,11,1,1,22,22,1,30,0.7333,0.7333,22,0,-8,0,,,
mono,13,1,1,28,28,1,36,0.7778,0.7222,28,0,-8,0,,,
mono,17,1,1,36,36,1,48,0.7500,0.7083,36,0,-12,0,,,
mono,19,1,1,38,38,1,54,0.7037,0.7037,38,0,-16,0,,,
mono,23,1,1,46,46,1,66,0.6970,0.6970,46,0,-20,0,,,
mono,29,1,1,60,60,1,84,0.7143,0.6905,60,0,-24,0,,,
mono,31,1,1,62,62,1,90,0.6889,0.6889,62,0,-28,0,,,
mono,37,1,1,76,76,1,108,0.7037,0.6852,76,0,-32,0,,,
mono,41,1,1,84,84,1,120,0.7000,0.6833,84,0,-36,0,,,
mono,43,1,1,86,86,1,126,0.6825,0.6825,86,0,-40,0,,,
mono,47,1,1,94,94,1,138,0.6812,0.6812,94,0,-44,0,,,
mono,53,1,1,108,108,1,156,0.6923,0.6795,108,0,-48,0,,,
mono,59,1,1,118,118,1,174,0.6782,0.6782,118,0,-56,0,,,
mono,61,1,1,124,124,1,180,0.6889,0.6778,124,0,-56,0,,,
multih,17,1|2,1,,36,,48,,0.7083,26,25,3,8,1,0,13
multih,17,1|3,1,,36,,48,,0.7083,26,22,0,7,1,0,10
multih,17,1|2|3,1,,36,,48,,0.7083,21,31,4,10,1,0,19
multih,17,1|2|16,1,,36,,48,,0.7083,24,32,8,10,1,0,20
multih,17,2|3|5,1,,36,,48,,0.7083,20,34,6,11,1,0,22
multih,19,1|2,1,,38,,54,,0.7037,30,28,4,9,1,0,12
multih,19,1|3,1,,38,,54,,0.7037,32,27,5,9,1,0,11
multih,19,1|2|3,1,,38,,54,,0.7037,24,37,7,12,1,0,21
multih,19,1|2|18,1,,38,,54,,0.7037,24,36,6,12,1,0,20
multih,19,2|3|5,1,,38,,54,,0.7037,24,38,8,12,1,0,22
multih,23,1|2,1,,46,,66,,0.6970,33,33,0,11,1,0,13
multih,23,1|3,1,,46,,66,,0.6970,39,30,3,10,1,1,10
multih,23,1|2|3,1,,46,,66,,0.6970,26,47,7,15,1,0,27
multih,23,1|2|22,1,,46,,66,,0.6970,28,48,10,16,1,0,28
multih,23,2|3|5,1,,46,,66,,0.6970,28,49,11,16,1,0,29
multih,29,1|2,1,,60,,84,,0.6905,49,34,-1,11,1,1,10
multih,29,1|3,1,,60,,84,,0.6905,50,39,5,13,1,0,15
multih,29,1|2|3,1,,60,,84,,0.6905,37,56,9,18,1,0,32
multih,29,1|2|28,1,,60,,84,,0.6905,35,60,11,20,1,0,36
multih,29,2|3|5,1,,60,,84,,0.6905,40,57,13,19,1,0,33
multih,31,1|2,1,,62,,90,,0.6889,52,44,6,14,1,0,16
multih,31,1|3,1,,62,,90,,0.6889,49,47,6,15,1,0,19
multih,31,1|2|3,1,,62,,90,,0.6889,39,63,12,21,1,0,35
multih,31,1|2|30,1,,62,,90,,0.6889,38,65,13,21,1,0,37
multih,31,2|3|5,1,,62,,90,,0.6889,38,68,16,22,1,0,40
multih,37,1|2,1,,76,,108,,0.6852,54,54,0,18,1,0,22
multih,37,1|3,1,,76,,108,,0.6852,62,53,7,17,1,0,21
multih,37,1|2|3,1,,76,,108,,0.6852,43,80,15,26,1,0,48
multih,37,1|2|36,1,,76,,108,,0.6852,46,76,14,25,1,0,44
multih,37,2|3|5,1,,76,,108,,0.6852,48,72,12,24,1,0,40
