p,n,hjsw,baseline_polished,best_final,delta_vs_baseline,best_tag,dropped,refill_added,random_delta_max,random_delta_mean,beats_random_max,runtime_s
17,34,48,54,55,1,drop_B-1_0+M_H2,5,1,1,-0.27,0,2.49
19,38,54,60,60,0,hjsw_polished,0,0,1,-0.56,0,3.27
23,46,66,71,72,1,drop_A0_1+none,4,0,4,0.42,0,5.67
29,58,84,88,91,3,drop_C0_0+H2,9,1,4,0.94,0,10.55
31,62,90,98,99,1,drop_A1_0+none,8,0,2,-0.25,0,13.54
37,74,108,116,117,1,drop_C1_1+none,7,0,1,-0.98,0,21.49
41,82,120,124,126,2,drop_A1_1+none,9,0,4,1.00,0,27.51
43,86,126,132,134,2,drop_A0_1+H2,14,2,3,0.29,0,32.06
47,94,138,143,147,4,drop_B-1_1+none,13,0,3,0.62,1,40.99
53,106,156,162,163,1,drop_C0_0+none,13,0,3,0.10,0,57.50
61,122,180,192,192,0,hjsw_polished,0,0,1,-2.65,0,88.42
