p,n,residues,pool,hjsw,primary,primary_method,surplus,bad_lines,excess_sum,lb_disjoint,lb_minus_surplus,holds,pure_bad,mixed_bad,color_sizes,minority,minority_over_3,runtime_s
7,14,1|2,48,18,22,exact,4,10,10,4,0,1,0,10,"12,10",10,3,0.001
7,14,1|3,48,18,20,exact,2,5,5,3,1,1,0,5,"10,10",10,3,0.002
7,14,1|2|3,72,18,22,exact,4,8,8,4,0,1,0,8,"11,6,5",11,3,0.005
7,14,1|2|6,72,18,24,exact,6,3,4,4,-2,0,0,3,"10,8,6",14,4,0.001
7,14,2|3|5,72,18,20,warm_hjsw,2,8,9,4,2,1,0,8,"11,6,3",9,3,0.001
11,22,1|2,80,30,33,exact,3,23,27,9,6,1,0,23,"17,16",16,5,0.001
11,22,1|3,80,30,32,warm_hjsw,2,12,12,6,4,1,0,12,"16,16",16,5,0.001
11,22,1|2|3,120,30,35,exact,5,16,18,7,2,1,0,16,"17,11,7",18,6,0.002
11,22,1|2|10,120,30,35,exact,5,18,20,8,3,1,0,18,"18,9,8",17,5,0.002
11,22,2|3|5,120,30,35,exact,5,24,25,9,4,1,0,24,"15,14,6",20,6,0.002
13,26,1|2,96,36,41,warm_hjsw,5,25,28,12,7,1,0,25,"23,18",18,6,0.002
13,26,1|3,96,36,38,exact,2,12,14,9,7,1,0,12,"20,18",18,6,0.002
13,26,1|2|3,144,36,41,warm_hjsw,5,20,26,11,6,1,0,20,"15,15,11",26,8,0.002
13,26,1|2|12,144,36,44,exact,8,30,34,10,2,1,0,30,"21,16,7",23,7,0.002
13,26,2|3|5,144,36,42,warm_hjsw,6,27,27,7,1,1,0,27,"25,14,3",17,5,0.002
17,34,1|2,128,48,51,warm_hjsw,3,30,31,9,6,1,0,30,"26,25",25,8,0.003
17,34,1|3,128,48,48,warm_hjsw,0,27,29,10,10,1,0,27,"26,22",22,7,0.003
17,34,1|2|3,192,48,52,exact,4,28,31,12,8,1,0,28,"21,19,12",31,10,0.003
17,34,1|2|16,192,48,56,exact,8,39,46,14,6,1,0,39,"24,21,11",32,10,0.003
17,34,2|3|5,192,48,54,warm_hjsw,6,41,47,15,9,1,0,41,"20,19,15",34,11,0.003
19,38,1|2,144,54,58,exact,4,43,45,13,9,1,0,43,"30,28",28,9,0.003
19,38,1|3,144,54,59,exact,5,42,42,11,6,1,0,42,"32,27",27,9,0.003
19,38,1|2|3,216,54,61,exact,7,42,44,13,6,1,0,42,"24,19,18",37,12,0.004
19,38,1|2|18,216,54,60,exact,6,49,56,16,10,1,0,49,"24,24,12",36,12,0.004
19,38,2|3|5,216,54,62,warm_hjsw,8,58,66,17,9,1,0,58,"24,20,18",38,12,0.004
23,46,1|2,176,66,66,exact,0,43,48,13,13,1,0,43,"33,33",33,11,0.004
23,46,1|3,176,66,69,exact,3,42,43,15,12,1,0,42,"39,30",30,10,0.004
23,46,1|2|3,264,66,73,warm_hjsw,7,67,75,20,13,1,0,67,"26,24,23",47,15,0.005
23,46,1|2|22,264,66,76,exact,10,64,67,16,6,1,0,64,"28,26,22",48,16,0.005
23,46,2|3|5,264,66,77,exact,11,64,69,20,9,1,0,64,"28,26,23",49,16,0.006
29,58,1|2,224,84,83,warm_hjsw,-1,53,54,17,18,1,0,53,"49,34",34,11,0.006
29,58,1|3,224,84,89,exact,5,59,65,21,16,1,0,59,"50,39",39,13,0.007
29,58,1|2|3,336,84,93,exact,9,91,100,23,14,1,0,91,"37,30,26",56,18,0.009
29,58,1|2|28,336,84,95,warm_hjsw,11,94,101,23,12,1,0,94,"35,35,25",60,20,0.008
29,58,2|3|5,336,84,97,exact,13,107,116,25,12,1,0,107,"40,29,28",57,19,0.008
31,62,1|2,240,90,96,exact,6,74,82,25,19,1,0,74,"52,44",44,14,0.008
31,62,1|3,240,90,96,exact,6,69,75,23,17,1,0,69,"49,47",47,15,0.008
31,62,1|2|3,360,90,102,warm_hjsw,12,108,117,25,13,1,0,108,"39,32,31",63,21,0.009
31,62,1|2|30,360,90,103,warm_hjsw,13,94,97,21,8,1,0,94,"38,36,29",65,21,0.009
31,62,2|3|5,360,90,106,exact,16,107,116,27,11,1,0,107,"38,36,32",68,22,0.011
37,74,1|2,288,108,108,warm_hjsw,0,82,89,24,24,1,0,82,"54,54",54,18,0.010
37,74,1|3,288,108,115,exact,7,88,95,27,20,1,0,88,"62,53",53,17,0.011
37,74,1|2|3,432,108,123,warm_hjsw,15,130,138,31,16,1,0,130,"43,42,38",80,26,0.013
37,74,1|2|36,432,108,122,exact,14,127,135,28,14,1,0,127,"46,39,37",76,25,0.012
37,74,2|3|5,432,108,120,exact,12,146,155,30,18,1,0,146,"48,40,32",72,24,0.014
41,82,1|2,320,120,133,warm_hjsw,13,135,152,35,22,1,0,135,"68,65",65,21,0.013
41,82,1|3,320,120,124,warm_hjsw,4,103,107,27,23,1,0,103,"62,62",62,20,0.012
41,82,1|2|3,480,120,137,warm_hjsw,17,180,194,38,21,1,0,180,"52,43,42",85,28,0.015
41,82,1|2|40,480,120,143,warm_hjsw,23,216,229,42,19,1,0,216,"50,49,44",93,31,0.017
41,82,2|3|5,480,120,136,warm_hjsw,16,165,174,36,20,1,0,165,"53,45,38",83,27,0.015
43,86,1|2,336,126,129,warm_hjsw,3,131,140,29,26,1,0,131,"68,61",61,20,0.013
43,86,1|3,336,126,130,exact,4,138,147,31,27,1,0,138,"66,64",64,21,0.015
43,86,1|2|3,504,126,146,exact,20,195,212,40,20,1,0,195,"57,50,39",89,29,0.017
43,86,1|2|42,504,126,142,exact,16,173,189,39,23,1,0,173,"49,47,46",93,31,0.016
43,86,2|3|5,504,126,140,exact,14,141,153,37,23,1,0,141,"51,48,41",89,29,0.017
47,94,1|2,368,138,142,exact,4,140,150,38,34,1,0,140,"80,62",62,20,0.015
47,94,1|3,368,138,144,exact,6,124,133,32,26,1,0,124,"73,71",71,23,0.016
47,94,1|2|3,552,138,159,exact,21,222,235,44,23,1,0,222,"57,51,51",102,34,0.022
47,94,1|2|46,552,138,158,exact,20,198,213,41,21,1,0,198,"59,50,49",99,33,0.020
47,94,2|3|5,552,138,157,exact,19,209,224,39,20,1,0,209,"57,53,47",100,33,0.021
53,106,1|2,416,156,165,exact,9,184,192,40,31,1,0,184,"86,79",79,26,0.020
