p,n,family,hjsw,pool,self_nonprim3,risk0,risk0_primary_ok,reduced_seed,hjsw_polished,enrich_added,enrich_final,delta_vs_hjsw,delta_vs_polished,verified,runtime_s
17,34,hyperbola_c2,48,64,0,9,1,,54,1,53,5,-1,True,0.04
17,34,parabola,48,64,0,7,1,,54,1,53,5,-1,True,0.04
17,34,circle,48,48,0,7,1,,54,1,54,6,0,True,0.04
17,34,pell_d2,48,48,0,3,0,,54,0,54,6,0,True,0.04
17,34,exponential,48,64,91,7,0,,54,0,54,6,0,True,0.04
17,34,affine_line,48,60,158,3,1,,54,1,54,6,0,True,0.04
17,34,middle_blocks,48,256,-1,28,4,,54,4,53,5,-1,True,0.04
17,34,board_risk0_ceiling,48,1156,-1,102,8,,54,6,54,6,0,True,0.04
17,34,delete_1_then_board_risk0,48,,,123,,47,54,7,54,6,0,True,0.04
17,34,delete_3_then_board_risk0,48,,,165,,45,54,8,53,5,-1,True,0.04
19,38,hyperbola_c2,54,72,0,7,1,,60,1,59,5,-1,True,0.06
19,38,parabola,54,72,0,7,0,,60,0,57,3,-3,True,0.06
19,38,circle,54,64,0,6,0,,60,0,57,3,-3,True,0.06
19,38,pell_d2,54,64,0,3,1,,60,1,58,4,-2,True,0.06
19,38,exponential,54,72,93,7,0,,60,0,57,3,-3,True,0.06
19,38,affine_line,54,68,202,4,0,,60,0,57,3,-3,True,0.06
19,38,middle_blocks,54,324,-1,30,2,,60,2,57,3,-3,True,0.06
19,38,board_risk0_ceiling,54,1444,-1,107,8,,60,6,60,6,0,True,0.06
19,38,delete_1_then_board_risk0,54,,,134,,53,60,6,59,5,-1,True,0.06
19,38,delete_3_then_board_risk0,54,,,188,,51,60,9,60,6,0,True,0.06
23,46,hyperbola_c2,66,88,0,4,0,,71,0,71,5,0,True,0.11
23,46,parabola,66,88,0,4,0,,71,0,71,5,0,True,0.11
23,46,circle,66,80,0,5,1,,71,1,71,5,0,True,0.11
23,46,pell_d2,66,80,0,7,0,,71,0,71,5,0,True,0.11
23,46,exponential,66,88,85,4,0,,71,0,71,5,0,True,0.11
23,46,affine_line,66,84,311,5,0,,71,0,71,5,0,True,0.11
23,46,middle_blocks,66,484,-1,40,6,,71,4,71,5,0,True,0.11
23,46,board_risk0_ceiling,66,2116,-1,127,9,,71,5,71,5,0,True,0.11
23,46,delete_1_then_board_risk0,66,,,137,,65,71,6,71,5,0,True,0.11
23,46,delete_3_then_board_risk0,66,,,171,,63,71,8,71,5,0,True,0.11
29,58,hyperbola_c2,84,112,0,9,0,,88,0,88,4,0,True,0.07
29,58,parabola,84,112,0,5,0,,88,0,88,4,0,True,0.07
29,58,circle,84,96,0,7,0,,88,0,88,4,0,True,0.07
29,58,pell_d2,84,112,0,3,0,,88,0,88,4,0,True,0.07
29,58,exponential,84,112,171,5,0,,88,0,88,4,0,True,0.07
29,58,affine_line,84,108,515,5,0,,88,0,88,4,0,True,0.07
29,58,middle_blocks,84,784,-1,46,4,,88,4,88,4,0,True,0.07
29,58,board_risk0_ceiling,84,3364,-1,146,7,,88,4,88,4,0,True,0.07
31,62,hyperbola_c2,90,120,0,4,0,,98,0,98,8,0,True,0.10
31,62,parabola,90,120,0,4,0,,98,0,98,8,0,True,0.10
31,62,circle,90,112,0,6,0,,98,0,98,8,0,True,0.10
31,62,pell_d2,90,112,0,5,0,,98,0,98,8,0,True,0.10
31,62,exponential,90,120,160,9,1,,98,1,98,8,0,True,0.10
31,62,affine_line,90,116,595,6,0,,98,0,98,8,0,True,0.10
31,62,middle_blocks,90,900,-1,76,6,,98,4,98,8,0,True,0.10
31,62,board_risk0_ceiling,90,3844,-1,189,13,,98,8,98,8,0,True,0.10
