p,c,fp_at_most_two,collinear_delta_mod_p,same_residue_chord_primary,nonprimary_ge3,primary_two_res_triples,nonprimary_triples,ok
3,1,1,1,1,0,4,0,1
5,1,1,1,1,0,8,0,1
7,1,1,1,1,0,20,0,1
11,1,1,1,1,0,36,0,1
13,1,1,1,1,0,40,0,1
17,1,1,1,1,0,56,0,1
19,1,1,1,1,0,68,0,1
23,1,1,1,1,0,84,0,1
29,1,1,1,1,0,104,0,1
31,1,1,1,1,0,116,0,1
37,1,1,1,1,0,136,0,1
41,1,1,1,1,0,152,0,1
43,1,1,1,1,0,164,0,1
47,1,1,1,1,0,180,0,1
53,1,1,1,1,0,200,0,1
59,1,1,1,1,0,228,0,1
61,1,1,1,1,0,232,0,1
67,1,1,1,1,0,260,0,1
71,1,1,1,1,0,276,0,1
73,1,1,1,1,0,280,0,1
79,1,1,1,1,0,308,0,1
83,1,1,1,1,0,324,0,1
89,1,1,1,1,0,344,0,1
97,1,1,1,1,0,376,0,1
