p,n,c1,pool,hv_safe,four_surv,indiv_ok,subset_indiv_ok,runtime_s
5,10,2,16,6,6,1,10,0.001
5,10,3,10,7,1,1,10,0.001
5,10,4,16,6,4,1,10,0.001
7,14,2,21,8,3,1,10,0.001
7,14,3,18,8,2,2,10,0.001
7,14,5,24,8,3,2,10,0.001
7,14,6,24,8,4,0,10,0.001
7,14,4,24,9,4,2,10,0.001
17,34,2,64,18,6,1,8,0.005
17,34,3,58,18,4,0,8,0.005
17,34,5,64,18,6,0,8,0.005
17,34,8,58,18,7,0,8,0.005
17,34,15,64,18,8,0,8,0.005
19,38,2,72,20,9,1,8,0.006
19,38,3,66,20,9,0,8,0.006
19,38,5,72,20,7,1,8,0.006
19,38,9,72,20,9,1,8,0.007
19,38,17,72,20,6,0,8,0.007
31,62,2,120,32,8,0,13,0.024
31,62,3,114,32,8,1,13,0.024
31,62,5,114,32,13,0,13,0.024
31,62,15,114,32,9,0,13,0.025
31,62,29,114,32,8,0,13,0.025
37,74,2,138,38,11,0,15,0.037
37,74,3,138,38,8,1,15,0.037
37,74,5,138,38,7,0,15,0.038
37,74,18,144,38,11,0,15,0.038
37,74,35,138,38,10,1,15,0.038
61,122,2,240,62,22,0,12,0.139
61,122,3,234,62,16,0,12,0.140
61,122,5,234,62,18,0,12,0.141
61,122,30,240,62,25,0,12,0.142
61,122,59,234,62,16,0,12,0.142
67,134,2,258,68,16,0,19,0.190
67,134,3,258,68,23,0,19,0.191
67,134,5,264,68,22,0,19,0.192
67,134,33,264,68,22,0,19,0.194
67,134,65,264,68,15,0,19,0.195
71,142,2,274,72,18,0,18,0.216
71,142,3,274,72,17,0,18,0.217
71,142,5,280,72,21,2,18,0.219
71,142,35,274,72,16,0,18,0.220
71,142,69,280,72,16,0,18,0.221
83,166,2,328,84,30,0,16,0.334
83,166,3,322,84,28,0,16,0.336
83,166,5,322,84,22,0,16,0.337
83,166,41,328,84,18,0,16,0.339
83,166,81,322,84,28,0,16,0.340
97,194,2,384,98,33,0,20,0.557
97,194,3,378,98,32,0,20,0.559
97,194,5,384,98,31,0,20,0.561
97,194,48,378,98,23,0,20,0.563
97,194,95,384,98,25,0,20,0.565
107,214,2,418,108,32,0,24,0.752
107,214,3,418,108,29,0,24,0.755
107,214,5,418,108,28,0,24,0.759
107,214,53,424,108,37,0,24,0.762
107,214,105,418,108,24,0,24,0.765
109,218,2,426,110,25,0,30,0.761
109,218,3,426,110,30,0,30,0.764
109,218,5,432,110,36,1,30,0.767
109,218,54,432,110,21,1,30,0.770
109,218,107,432,110,34,0,30,0.773
139,278,2,552,140,31,0,23,1.620
139,278,3,546,140,36,0,23,1.625
139,278,5,546,140,33,0,23,1.630
139,278,69,552,140,41,0,23,1.635
139,278,137,546,140,36,0,23,1.639
151,302,2,594,152,39,0,35,2.074
151,302,3,594,152,46,0,35,2.080
151,302,5,600,152,33,0,35,2.085
151,302,75,594,152,41,0,35,2.090
151,302,149,600,152,42,1,35,2.096
167,334,2,664,168,42,0,39,2.870
167,334,3,658,168,54,1,39,2.876
167,334,5,664,168,42,0,39,2.883
167,334,83,658,168,44,1,39,2.889
167,334,165,664,168,44,0,39,2.896
173,346,2,688,174,51,0,37,3.210
173,346,3,682,174,39,0,37,3.217
173,346,5,682,174,42,0,37,3.224
173,346,86,688,174,56,0,37,3.231
173,346,171,682,174,41,0,37,3.238
181,362,2,720,182,53,0,40,3.653
181,362,3,714,182,51,0,40,3.660
181,362,5,720,182,52,0,40,3.668
181,362,90,720,182,50,1,40,3.675
181,362,179,720,182,55,0,40,3.682
