p,n,c,pool,primary_ge3,nonprimary_ge3,max_on_line,clean_nonprimary
3,6,1,8,1,0,4,1
5,10,1,16,2,0,4,1
7,14,1,24,5,0,4,1
11,22,1,40,9,0,4,1
13,26,1,48,10,0,4,1
17,34,1,64,14,0,4,1
19,38,1,72,17,0,4,1
23,46,1,88,21,0,4,1
29,58,1,112,26,0,4,1
31,62,1,120,29,0,4,1
37,74,1,144,34,0,4,1
41,82,1,160,38,0,4,1
43,86,1,168,41,0,4,1
47,94,1,184,45,0,4,1
53,106,1,208,50,0,4,1
59,118,1,232,57,0,4,1
61,122,1,240,58,0,4,1
67,134,1,264,65,0,4,1
71,142,1,280,69,0,4,1
73,146,1,288,70,0,4,1
79,158,1,312,77,0,4,1
83,166,1,328,81,0,4,1
89,178,1,352,86,0,4,1
97,194,1,384,94,0,4,1
101,202,1,400,98,0,4,1
103,206,1,408,101,0,4,1
107,214,1,424,105,0,4,1
109,218,1,432,106,0,4,1
113,226,1,448,110,0,4,1
127,254,1,504,125,0,4,1
131,262,1,520,129,0,4,1
137,274,1,544,134,0,4,1
139,278,1,552,137,0,4,1
149,298,1,592,146,0,4,1
151,302,1,600,149,0,4,1
157,314,1,624,154,0,4,1
163,326,1,648,161,0,4,1
167,334,1,664,165,0,4,1
173,346,1,688,170,0,4,1
179,358,1,712,177,0,4,1
