p,n,raw_surplus,raw_lb_minus_surplus,raw_kept_minus_hjsw,struct_schedule,struct_c0,struct_c1,struct_pool,struct_primary,struct_surplus,struct_lb_minus_surplus,struct_kept_minus_hjsw,struct_final,struct_ratio,struct_beats_hjsw,lb_ge_surplus_raw,lb_ge_surplus_struct,runtime_s
5,10,4,0,0,row_band,2,3,16,16,4,0,0,17,1.700000,1,1,1,0.013
7,14,4,0,-1,chessboard,2,3,34,20,2,2,-3,23,1.642857,1,1,1,0.031
17,34,4,8,-10,chessboard,1,2,82,43,-5,15,-15,52,1.529412,1,1,1,8.151
19,38,7,6,-11,block_partition,2,3,64,46,-8,16,-19,59,1.552632,1,1,1,6.351
31,62,6,19,-24,column_band,2,3,120,96,6,16,-21,94,1.516129,1,1,1,6.885
37,74,14,17,-26,block_partition,1,36,136,88,-20,32,-32,111,1.500000,1,1,1,5.389
61,122,27,32,-57,row_band,1,3,240,192,12,33,-47,182,1.491803,1,1,1,5.390
67,134,26,38,-63,row_band,2,3,264,208,10,40,-55,199,1.485075,1,1,1,8.758
71,142,22,40,-63,hjsw_fallback,,,210,210,0,0,0,210,1.478873,0,1,1,8.267
83,166,28,53,-85,hjsw_fallback,,,246,246,0,0,0,246,1.481928,0,1,1,12.738
