p,n,base_size,hv_safe,four_constraint_survivors,individually_ok,added,final_size,ratio,beats_1_55,method,runtime_s
5,10,12,36,24,10,4,16,1.600000,1,exact,0.001
7,14,18,64,26,10,4,22,1.571429,1,exact,0.001
17,34,48,324,111,8,5,53,1.558824,1,exact,0.007
19,38,54,400,125,8,4,58,1.526316,0,exact,0.009
31,62,90,1024,293,13,6,96,1.548387,0,exact,0.037
37,74,108,1444,429,15,6,114,1.540541,0,exact,0.062
61,122,180,3844,1068,12,7,187,1.532787,0,exact,0.253
67,134,198,4624,1236,19,11,209,1.559701,1,exact,0.349
71,142,210,5184,1380,18,9,219,1.542254,0,exact,0.404
83,166,246,7056,1862,16,9,255,1.536145,0,exact,0.634
97,194,288,9604,2555,20,14,302,1.556701,1,exact,1.054
